,project_id,title,type_of_project,track_count,release_date
0,1,Single,,,
1,2,Echoes Of The Ghetto,EP,6.0,2026-01-13
2,3,A Taste Of The African King,Mixtape,12.0,2026-01-26
3,4,Safa,Album,14.0,2024-09-20
4,5,Konekt,Album,8.0,2024-02-02
5,6,Manacles Of A Shatta,EP,7.0,2020-04-20
6,7,Wonder Boy,Album,13.0,2019-10-19
7,8,Hbd Mixtape,EP,4.0,2018-12-01
8,9,Reign,Album,17.0,2018-10-13
9,10,After The Storm,Album,22.0,2016-04-29
10,11,Million Miles Mixtape,Mixtape,15.0,2015-03-31
11,12,Voice Of The Crown [Ep],EP,5.0,2025-08-07
12,13,The Interface,EP,8.0,2026-02-18
13,14,Lambo,EP,4.0,2026-02-25
14,15,Maali,Album,10.0,2023-03-25
15,16,Others(albums by others),,,
16,17,G.O.G Chaff,EP,4.0,2021-11-19
