"title","year","audio","video","views","likes","comments","engagement_rate"
"4Lyf - Freestyle (Audio Slide)","2026",1,"",30955,4385,588,"16.07"
"God People (Audio Slide)","2026",1,"",29849,4155,627,"16.02"
"48Hrs (Visualizer)","2026","",1,43794,6128,764,"15.74"
"No No No (Audio Slide)","2026",1,"",35002,4586,618,"14.87"
"Top Boss (Audio Slide)","2026",1,"",40210,4725,897,"13.98"
"How Far","2026",1,"",31076,3600,451,"13.04"
"Shatta Movement Army (Audio Slide)","2026",1,"",33417,3838,504,"12.99"
"Money Man (Party Vibe)","2024","",1,49072,5935,239,"12.58"
"Tek Di Yellow (Audio Slide)","2026",1,"",42537,4683,651,"12.54"
"My Fav Youtubers (Audio Slide)","2026",1,"",49125,5122,941,"12.34"
